Count,Actor
804106,associated press
795679,united states
462252,national weather service
412438,reuters
344333,twitter
326717,facebook
172975,cnn
157316,national hurricane center
152077,white house
149444,nasdaq
133691,united nations
126165,european union
106696,u s geological
98670,emergency management agency
83593,bloomberg
83040,organization of the petroleum exporting countries
80159,shell
78921,google
75506,u s national hurricane center
72311,atmospheric administration
71300,international energy agency
70501,national oceanic
69104,national guard
68207,federal reserve
68079,dow jones
67393,environmental protection agency
66824,instagram
61119,supreme court
58872,bureau of meteorology
57709,york mercantile exchange
56697,new york times
53774,world forestry congress
53649,chevron
48669,new york mercantile exchange
47637,u s energy information administration
47439,world bank
46991,xinhua
46077,royal dutch shell
44941,youtube
43821,goldman sachs
42463,exchange commission
41520,energy information administration
41221,u s forest service
41085,california department of forestry
40795,exxon
39579,washington post
39567,earthquake notification service
39248,american petroleum institute
38372,zacks investment research
38270,storm prediction center
36403,exxonmobil
34679,thomson reuters
33809,exxon mobil
32721,rio tinto
32221,department of energy
32203,university of california
31093,organization of petroleum exporting countries
30533,u s army corps of engineers
30330,baker hughes
30137,greenpeace
29758,duke energy
29121,international monetary fund
28895,saudi aramco
28779,energy transfer partners
28737,u s environmental protection agency
28692,boeing
28273,army corps of engineers
26545,renewable energy
26291,morgan stanley
26260,oil gas
25951,sierra club
25663,wildlife service
25659,us geological
25582,venture exchange
25260,glencore
25177,barclays
24194,group inc
24145,young
24089,bureau of land management
23730,european central bank
23728,statoil
23503,european commission
23206,disney
22641,deutsche bank
22104,yahoo
21570,energy department
21074,environment agency
20918,netflix
20861,exxon mobil corp
20431,los angeles times
20373,u s department of energy
20349,microsoft
20149,forest service
20075,toronto stock exchange
19975,regulation services provider
19883,department of transportation
19743,cable news network inc
19705,time warner company
19689,conocophillips
19545,york stock exchange
19130,emergency services
19012,linkedin
18497,cable news network turner broadcasting system inc
18353,walmart
17625,japan meteorological agency
17479,intergovernmental panel on climate change
17371,american airlines
17369,mcdonald
17262,new york stock exchange
17057,world health organization
17010,energy regulatory commission
16952,hurricane center
16876,moody
16768,rosneft
16707,city council
16648,petrobras
16157,u s navy
16121,national park service
16098,salvation army
16065,amtrak
16062,citigroup
16032,national grid
15908,high court
15774,starbucks
15637,emergency service
15634,u s department of agriculture
15474,sterling
15345,commerzbank
15236,natural resources defense council
15196,justice department
14748,european space agency
14687,department of homeland security
14523,credit suisse
14159,weather service
13888,colorado state university
13780,pacific tsunami warning center
13761,ipcc
13529,terms of service
13381,toyota
13340,commerce department
13241,department of natural resources
12833,rural fire service
12822,thomson reuters foundation
12773,propulsion laboratory
12699,baker hughes inc
12698,emergency operations center
12688,bg group
12595,halliburton
12588,london stock exchange
12584,stanford university
12491,securities exchange
12444,morningstar inc
12137,xinhua news agency
12123,university of miami
12096,us energy information administration
12034,u s district court
12006,chevron corp
11935,national center
11907,world meteorological organization
11828,samsung
11780,aviation administration
11758,russian federation
11757,siemens
11740,proceedings of the national academy of sciences
11553,india meteorological department
11483,schlumberger
11456,royal bank
11439,christie
11411,democratic party
11391,peabody energy
11356,u s supreme court
11276,national geographic
11259,national interagency fire center
11228,drug administration
11142,tullow oil
11096,intergovernmental panel on climate
11093,university of michigan
11039,national weather service storm prediction center
10987,united states geological
10963,national instrument
10935,national flood insurance program
10931,columbia university
10900,nigerian national petroleum corporation
10844,news network
10704,volkswagen
10672,national science foundation
10653,labor department
10622,petronas
10508,big oil
10488,centers for disease
10456,marketwatch inc
10453,oil price information service
10451,department of environment
10370,pemex
10296,ibm
10249,raycom news network
10184,bonds
10147,russian energy
10137,gazprom
10064,spacex
10042,mississippi emergency management agency
9984,republican party
9882,global landscapes forum
9869,bloomberg new energy
9858,enbridge
9744,world resources institute
9708,glacier national park
9672,university of colorado
9668,fire department
9614,catholic church
9606,syndigate media inc
9601,capistrano unified school district
9597,nexstar broadcasting inc
9591,morgan
9582,human resource services compliance
9582,u s senate
9563,yosemite national park
9549,bmw
9534,goddard space flight center
9534,royal dutch shell plc
9483,plains all american pipeline
9478,international organization for migration
9477,university of washington
9476,national news
9405,commodity systems inc
9393,johnston publishing ltd
9362,union of concerned scientists
9360,wells fargo
9225,oil search
9171,msnbc
9166,united airlines
9160,indian oil corp
9156,department of agriculture
9102,central bank
9099,energy inc
9037,pdvsa
8905,u s state department
8828,commonwealth bank
8750,citigroup inc
8724,u s bureau of land management
8715,sinopec
8691,woodside petroleum
8663,scotiabank
8660,bp plc
8649,solar energy industries association
8642,national assembly
8630,unilever
8601,senate majority leader mitch mcconnell
8588,oklahoma corporation commission
8576,energy aspects
8575,department of environmental protection
8547,cnooc
8531,organisation of the petroleum exporting countries
8492,eskom
8464,miami herald
8448,world wildlife fund
8448,massachusetts institute of technology
8332,olympics
8288,sony
8247,public service commission
8210,fast market research fast market research
8182,anthony
8179,florida national guard
8161,petrochina
8115,honda
8098,green party
8087,geophysical research letters
8081,entergy
8045,bureau of ocean energy management
8039,union pacific
7953,foreign affairs
7953,ministry of energy
7945,health administration
7935,department of justice
7930,shale plays media
7911,morris
7902,yellowstone national park
7867,chesapeake energy
7852,friends of the earth
7819,organisation of petroleum exporting countries
7816,universal studios
7816,saudi energy
7774,jpmorgan chase co
7747,westpac
7746,caterpillar
7721,public utilities commission
7701,australian national university
7674,national australia bank
7666,national transportation safety board
7663,reliance industries
7662,transportation department
7606,amnesty international
7579,kennedy space center
7556,climate prediction center
7554,analyst ratings network
7481,goldman sachs group inc
7481,anadarko
7475,dow jones company inc
7461,ministry of environment
7424,xcel energy
7355,human services
7343,nv energy
7328,marathon oil
7327,us department of energy
7322,transcanada corp
7320,princeton university
7306,national guardsmen
7291,angeles national forest
7244,southern california gas co
7237,obama administration
7233,hazardous materials safety administration
7233,texas a m university
7205,bureau of safety
7203,agriculture organization
7199,de beers
7199,george r brown convention center
7185,u s army
7151,total sa
7147,atmospheric research
7123,nature communications
7116,european parliament
7106,u s circuit court
7103,texas department of transportation
7091,texas department of public safety
7028,verizon
6997,security council
6994,department of health
6923,college park
6857,harvard university
6855,green climate fund
6853,army corps
6833,intel
6823,asian development bank
6809,weather prediction center
6801,florida power light
