Count,Actor
2021213,donald trump
1465610,barack obama
810167,hillary clinton
784535,los angeles
381205,vladimir putin
294330,las vegas
282963,bernie sanders
281551,george w bush
272371,john kerry
218694,pacific ocean
213987,pope francis
204075,angela merkel
195749,malcolm turnbull
183833,ted cruz
179097,jerry brown
170428,justin trudeau
168339,rex tillerson
166832,paul ryan
166114,narendra modi
166108,el nino
162641,janet yellen
159079,bashar assad
158202,theresa may
154035,david cameron
152612,muhammadu buhari
151015,mike pence
149364,abu dhabi
147098,tony abbott
143077,rick scott
142824,atlantic ocean
142095,benjamin netanyahu
139729,marco rubio
139616,shinzo abe
138653,bill clinton
126609,ronald reagan
124651,nikki haley
122768,bashar al-assad
122074,john mccain
114605,francois hollande
111417,tayyip erdogan
107962,indian ocean
105806,greg abbott
103563,jeb bush
102480,rodrigo duterte
101015,chris christie
96076,nicolas maduro
95745,hassan rouhani
92843,joe biden
92336,john kasich
91432,asia pacific
89860,scott pruitt
89564,sean spicer
87848,jeff sessions
86136,nancy pelosi
85938,james comey
83327,scott walker
78545,dilma rousseff
75569,andrew cuomo
74266,santa barbara
70329,rick perry
69242,al gore
68818,jesus christ
68486,superstorm sandy
67835,martin luther king jr
66184,arun jaitley
65758,michelle obama
65596,john bel edwards
65148,george h w bush
64817,li keqiang
63260,nawaz sharif
63169,jeremy corbyn
61854,lindsey graham
61091,ben carson
60614,boris johnson
60022,stephen harper
59088,mario draghi
58643,elon musk
58244,sergey lavrov
58158,ammon bundy
57903,ryan zinke
57871,julie bishop
57736,king salman
57664,matthew jennings
57214,john kelly
57185,lok sabha
55668,richard nixon
55331,john f kennedy
54592,haider al-abadi
54125,mohammad javad zarif
54056,ali khamenei
53907,jared kushner
53342,goodluck jonathan
53128,pat mccrory
53100,amy hanacek
51561,alexis tsipras
51255,jimmy carter
50592,antonio guterres
50470,john boehner
50352,jacob zuma
50280,kellyanne conway
49866,michael flynn
49527,matteo renzi
49151,leonardo dicaprio
49053,elizabeth warren
48847,sally jewell
48562,hugo chavez
48233,seth borenstein
46835,scott morrison
46739,steve bannon
46437,ivanka trump
45930,suu kyi
45926,hillary rodham clinton
45903,melania trump
45686,chuck schumer
45458,mitt romney
45335,abraham lincoln
45165,barnaby joyce
45029,enrique pena nieto
45028,mitch mcconnell
44683,rachel notley
44672,rajya sabha
44613,terry mcauliffe
44556,mahmoud abbas
44013,jean-claude juncker
43874,mark zuckerberg
43362,cliven bundy
43345,dmitry peskov
42774,wang yi
41931,addis ababa
41789,loretta lynch
41782,reince priebus
41660,arctic ocean
41554,pope franci
41472,michael brown
41431,charlie baker
40934,joko widodo
40367,annette franco
40349,taylor swift
39852,tim kaine
39717,george osborne
39650,tom wolf
39533,fred navarro
39311,kim davis
39150,james mattis
38854,sarah huckabee sanders
38814,marine le pen
38342,ku klux klan
38105,ali abdullah saleh
37750,laurent fabius
37112,harry potter
36845,rick snyder
36590,sergei lavrov
36419,bob corker
36072,juan manuel santos
36039,steven mnuchin
35691,philip hammond
35681,america merrill lynch
35507,sylvester turner
35498,warren buffett
35194,fidel castro
35140,khalid al-falih
35083,philando castile
35051,najib razak
34993,michael bloomberg
34969,harry reid
34943,raul castro
34644,thomas jefferson
34505,carlo petrini
34400,tim cook
34217,bruce rauner
34166,santa claus
33400,societe generale
33366,randolph t holhut
33274,stoxx europe
33259,rahul gandhi
33209,josh frydenberg
33196,al qaeda
33091,canaccord genuity
32970,viktor orban
32943,michel temer
32915,ricardo rossello
32838,john kirby
32824,saddam hussein
32638,mike huckabee
32260,justin bieber
32040,jay inslee
31857,mike baird
31857,john robinson
31641,rajnath singh
31580,tony blair
31462,dianne feinstein
31440,carly fiorina
31275,joe manchin
31156,cheikh ahmed
31148,jim mattis
30955,angelina jolie
30825,sadiq khan
30663,salva kiir
30518,sigmar gabriel
30495,kim kardashian
30213,lisa murkowski
30155,nigel farage
30056,edward snowden
30017,kate brown
29988,gina mccarthy
29524,christy clark
29041,alexander novak
28967,mark carney
28884,neil gorsuch
28712,adolf hitler
28657,kanye west
28641,mitch landrieu
28396,annastacia palaszczuk
28367,bobby jindal
28238,santa clara
27931,rafael correa
27742,moammar gadhafi
27611,martin luther king
27601,frank-walter steinmeier
27564,christine lagarde
27542,ryan bundy
27426,nathan deal
27297,david bowie
27272,arvind kejriwal
26959,winston churchill
26911,jill stein
26796,newt gingrich
26730,bertrand piccard
26627,john podesta
26586,robert bentley
26574,riek machar
26290,deni christensen
26274,ashraf ghani
26135,donald tusk
25995,yemi osinbajo
25840,tom vilsack
25806,brett mcgurk
25721,michael jackson
25634,mark dayton
25612,abu bakr al-baghdadi
25483,josh earnest
25451,robert e lee
25355,jens stoltenberg
25286,johnny depp
25262,jack dalrymple
25142,terry branstad
25089,hosni mubarak
25087,katy perry
25078,martin omalley
25064,mick mulvaney
25011,brian sandoval
24996,wilbur ross
24901,robert mugabe
24836,jeh johnson
24812,susana martinez
24778,luiz inacio lula
24745,betsy devos
24657,abu sayyaf
24625,theodore roosevelt
24604,sarah palin
24599,nelson mandela
24558,kevin mccarthy
24362,raymond james
24338,jay nixon
24336,anthony russomanno
24302,brad pitt
24280,daniel berlant
24236,petro poroshenko
24235,susan collins
23818,manmohan singh
23818,adel al-jubeir
23689,meryl streep
23681,paul manafort
23617,el faro
23617,lady gaga
23526,george washington
23519,henry mcmaster
23517,sheikh hasina
23409,pena nieto
23343,baltic sea
23314,john hickenlooper
23298,paul kanarek
23297,gary bednorz
23269,elizabeth weiss roya aminzadeh
23214,dharmendra pradhan
23134,roy cooper
23111,bob dylan
23110,pranab mukherjee
22996,piyush goyal
22890,john howard
22886,abdel-fattah el-sissi
22783,jerry luna
22730,phil bryant
22729,gary cohn
22700,paolo gentiloni
22682,eric schneiderman
22671,bharti airtel
22652,john cornyn
22608,ahmet davutoglu
22585,mevlut cavusoglu
22464,bernie sander
22452,bill shorten
22363,henning gloystein
22358,stephane dujarric
22206,franklin d roosevelt
22206,andre borschberg
22177,tom price
22161,arnold schwarzenegger
22098,dennis feltgen
21890,matt bevin
21882,matthew daly
21875,jean-marc ayrault
21842,kathleen wynne
21746,ariana grande
21648,steve beshear
21503,rudy giuliani
21500,ernest moniz
21486,david m stumbo
21406,rashid al maktoum
21402,george soros
21370,deir el-zour
21354,kevin rudd
21340,margaret thatcher
21245,peter dutton
21199,pauline hanson
21096,joe manhas
21062,rick santorum
20994,dalai lama
20946,earl ray tomblin
20918,robert mueller
20770,ali al-naimi
20645,charlie hebdo
20644,ryan burris
20573,justice john roberts
20565,jill colvin
20529,aylan kurdi
20488,raghuram rajan
20484,ron johnson
20345,nicola sturgeon
20217,sunni muslim
20177,michael fallon
20093,zeit aktuelle nachrichten
20085,yoshihide suga
20080,dave archambault
20058,dolly parton
19946,jeronimo yanez
19874,gary johnson
19860,mauricio macri
19845,larry hogan
19834,elton john
19808,catherine mckenna
19670,harvey weinstein
19661,tashfeen malik
19527,ken paxton
19525,heidi heitkamp
19454,chuck grassley
19422,mark rutte
19383,uhuru kenyatta
19353,ben jerry
19331,ken thomas
19199,omar mateen
19187,matt damon
19183,sam brownback
19180,mike pompeo
19166,dmitry medvedev
19159,george bush
19151,dick cheney
19138,bering sea
19100,mariano rajoy
19060,abed rabbo mansour
19044,julian assange
19037,elvis presley
18967,sonia gandhi
18959,rimpy hothi
18871,richard branson
18864,binali yildirim
18863,stanley fischer
18846,our lady
18834,rahm emanuel
18785,oprah winfrey
18712,david bunning
18633,julia gillard
18617,mark toner
18550,prakash javadekar
18535,sushma swaraj
18483,kamala harris
18422,lyndon johnson
18400,queen elizabeth
18353,vitaly churkin
18297,virgin mary
18281,adam schiff
18275,ron wyden
18264,stephen obrien
18237,jeff bezos
18159,tom hanks
18156,carrie fisher
18146,rushdi tamimi
18110,robert lavoy finicum
18073,kim jong
18060,william dudley
18056,paul lepage
17956,bruce springsteen
17930,hua chunying
17832,mary clare jalonick
17788,christiana figueres
17763,john williams
17590,clementa pinckney
17548,rand paul
17548,george clooney
17345,amber rudd
17322,manuel valls
17287,matthew lee
17200,tom mulcair
17181,josh lederman
17168,haruhiko kuroda
17121,jennifer lopez
17097,pat toomey
17096,jeff martin
17087,eric tucker
17084,bijan zanganeh
17076,eric garcetti
17045,john key
17015,luis obispo
16986,jason chaffetz
16972,maithripala sirisena
16967,amit shah
16944,devendra fadnavis
16911,eduardo cunha
16902,nicole kidman
16857,jim justice
16834,john hoeven
16829,zayed al nahyan
16755,marley jay
16717,stephen colbert
16704,erica werner
16702,kelly ayotte
16660,sean hannity
16604,debbie wasserman schultz
16603,viet nam
16582,sergey kislyak
16558,fethullah gulen
16542,vijay mallya
16516,kofi annan
16512,jefferson davis
16389,nitin gadkari
16371,nitish kumar
16352,jay reeves
16329,manohar parrikar
16273,gary herbert
16235,catherine lucey
16204,yukiya amano
16180,james boasberg
16147,jason aldean
16147,christopher pyne
16137,ed miliband
16116,ryan gosling
16078,steven spielberg
16052,albert einstein
16039,evan vucci
16034,asa hutchinson
16013,richard pullin
15939,joseph dunford
15930,megyn kelly
15898,hun sen
15886,nicos anastasiades
15836,james corden
15782,william randolph hearst
15730,doug ducey
15727,fukushima daiichi
15709,doug burgum
15665,ben cardin
15642,joe arpaio
15633,prince harry
15584,pope john paul
15584,mark butler
15557,gina rinehart
15555,miley cyrus
15547,mark twain
15542,bradley klapper
15541,michael moore
15540,mariah carey
15517,michelle bachelet
15480,bob dudley
15473,anthony foxx
15462,king abdullah
15457,darlene superville
15451,mamata banerjee
15444,elaine duke
15398,evo morales
15347,stifel nicolaus
15334,david attenborough
15333,boca raton
15299,jan egeland
15293,dick durbin
15288,matthew rycroft
15236,rush limbaugh
15228,ashton carter
15207,ron paul
15176,daniel andrews
15170,mahmoud ahmadinejad
