Day,Month,Year,Actor,Count
9,9,2015,united states,4566
9,4,2015,united states,4563
21,5,2015,associated press,4558
13,8,2015,united states,4556
12,11,2015,united states,4555
16,6,2016,associated press,4553
9,3,2017,associated press,4552
4,8,2016,united states,4551
1,12,2016,human resource services compliance,4547
1,12,2016,capistrano unified school district,4547
4,5,2016,associated press,4546
30,6,2016,associated press,4546
1,11,2016,united states,4545
15,4,2016,united states,4541
3,4,2017,united states,4541
21,1,2017,twitter,4540
7,8,2015,united states,4540
20,11,2016,capistrano unified school district,4539
20,11,2016,human resource services compliance,4539
28,6,2016,associated press,4537
3,3,2015,united states,4534
24,7,2017,united states,4531
18,8,2016,capistrano unified school district,4523
18,8,2016,human resource services compliance,4523
29,3,2017,european union,4522
5,3,2015,united states,4522
23,5,2017,united states,4519
2,6,2015,associated press,4516
22,9,2017,associated press,4513
14,9,2017,white house,4513
30,12,2016,human resource services compliance,4512
30,12,2016,capistrano unified school district,4512
29,6,2015,associated press,4511
15,2,2017,white house,4507
3,10,2017,united states,4507
11,8,2016,capistrano unified school district,4507
11,8,2016,human resource services compliance,4507
1,10,2015,associated press,4503
11,1,2017,associated press,4502
3,2,2016,associated press,4501
10,11,2016,associated press,4501
24,4,2017,associated press,4501
10,4,2015,associated press,4500
6,10,2017,associated press,4499
1,11,2016,human resource services compliance,4498
1,11,2016,capistrano unified school district,4498
18,7,2016,united states,4498
2,5,2017,united states,4496
27,7,2017,united states,4493
7,11,2016,human resource services compliance,4492
7,11,2016,capistrano unified school district,4492
14,10,2016,associated press,4492
15,6,2017,associated press,4491
7,9,2016,united states,4489
5,9,2016,human resource services compliance,4489
5,9,2016,capistrano unified school district,4489
18,5,2016,associated press,4488
22,4,2016,united nations,4484
3,9,2015,united states,4483
28,12,2016,human resource services compliance,4479
28,12,2016,capistrano unified school district,4479
11,11,2015,united states,4475
29,4,2017,white house,4473
14,11,2017,united states,4473
23,10,2017,united states,4472
10,4,2017,united states,4469
30,4,2015,united states,4467
23,12,2016,capistrano unified school district,4466
23,12,2016,human resource services compliance,4466
13,8,2016,capistrano unified school district,4464
13,8,2016,human resource services compliance,4464
1,7,2016,united states,4464
1,5,2015,associated press,4461
5,1,2016,associated press,4459
26,1,2017,white house,4459
9,1,2017,associated press,4459
13,5,2016,associated press,4459
15,6,2016,associated press,4457
13,10,2017,associated press,4457
9,11,2016,republican party,4455
27,3,2015,united states,4453
8,10,2016,united states,4452
9,12,2016,associated press,4449
14,6,2017,associated press,4448
26,9,2015,associated press,4448
6,11,2017,united states,4448
17,8,2016,united states,4446
30,6,2017,united states,4446
8,7,2016,united states,4445
17,8,2016,human resource services compliance,4444
17,8,2016,capistrano unified school district,4444
3,8,2015,united states,4438
19,5,2015,associated press,4438
20,11,2015,united states,4438
5,5,2017,united states,4437
1,7,2015,associated press,4433
25,10,2017,united states,4431
21,3,2017,associated press,4430
