Day,Month,Year,Actor,Count
23,12,2016,barack obama,1449
24,8,2016,narendra modi,1449
27,1,2016,peter santilli,1448
26,3,2015,brice robin,1448
10,6,2016,barack obama,1447
12,7,2016,barack obama,1447
24,3,2017,sean spicer,1447
28,12,2016,carrie fisher,1447
20,5,2015,barack obama,1447
6,6,2016,los angeles,1446
11,4,2017,barack obama,1446
18,1,2017,scott pruitt,1446
16,3,2016,marco rubio,1446
3,10,2017,melania trump,1446
9,12,2016,scott pruitt,1446
3,1,2016,mohammed al-nimr,1446
20,11,2017,diana ross,1446
23,6,2015,matt bevin,1446
21,11,2017,barack obama,1446
5,10,2015,william holbrook,1445
31,3,2017,hillary clinton,1445
13,6,2016,buddy dyer,1445
29,4,2015,sushil koirala,1445
17,10,2015,los angeles,1445
10,4,2017,karl stefanovic,1444
15,9,2016,hillary clinton,1444
23,1,2017,jenny bullard,1444
29,6,2016,hillary clinton,1443
10,1,2017,los angeles,1443
6,1,2017,los angeles,1442
4,9,2015,james yates,1442
13,11,2015,barack obama,1441
3,4,2017,francine gotch,1441
31,5,2016,barack obama,1440
20,12,2016,mevlut mert altintas,1440
15,6,2016,barack obama,1439
20,11,2016,barack obama,1437
1,5,2017,rodrigo duterte,1437
30,10,2016,donald trump,1437
17,8,2016,eric sherwin,1437
3,10,2016,juan manuel santos,1437
9,11,2016,prince harry,1436
15,2,2017,hillary clinton,1436
6,7,2017,angela merkel,1435
29,6,2016,justin trudeau,1434
28,12,2015,cindy barkley,1434
19,5,2017,zac efron,1434
14,7,2015,sharon bowman,1434
7,9,2017,seth borenstein,1433
27,8,2016,barack obama,1433
16,9,2016,barack obama,1433
19,5,2017,alexandra daddario,1431
5,9,2016,donald trump,1431
22,5,2015,santa barbara,1430
24,5,2015,thomas hudson,1430
17,7,2015,barack obama,1429
21,7,2015,jerry brown,1429
9,9,2016,john kerry,1429
7,7,2016,hillary clinton,1428
21,5,2016,donald trump,1426
1,9,2017,ryan sitton,1426
8,7,2017,theresa may,1426
31,12,2015,barack obama,1425
2,5,2015,ram sharan mahat,1424
29,7,2016,bill clinton,1423
13,12,2016,hillary clinton,1422
28,8,2017,patrick burke,1422
23,3,2017,barack obama,1421
22,4,2015,barack obama,1421
15,3,2017,scott pruitt,1421
28,8,2016,donald trump,1420
27,6,2015,richard matt,1419
28,4,2017,rex tillerson,1419
8,3,2017,barack obama,1419
27,4,2016,barack obama,1419
3,1,2016,nimr al-nimr,1419
26,7,2016,debbie wasserman schultz,1418
17,6,2015,lorcan miller,1418
17,6,2015,ashley donohoe,1418
15,8,2016,hillary clinton,1417
17,6,2015,eoghan culligan,1417
29,6,2016,josh earnest,1416
21,7,2016,barack obama,1416
17,6,2015,eimear walsh,1416
14,3,2017,charlie baker,1416
4,9,2015,joe davis,1416
5,12,2016,wes clark jr,1415
8,4,2016,hillary clinton,1415
29,6,2016,charles michel,1414
24,4,2016,bertrand piccard,1414
22,8,2017,john mccain,1414
10,9,2016,hillary clinton,1413
23,9,2016,barack obama,1412
29,2,2016,joe biden,1412
6,1,2016,cliven bundy,1412
15,10,2017,dianne feinstein,1412
31,3,2016,barack obama,1412
13,2,2017,faith hill,1412
26,11,2015,vladimir putin,1411
3,3,2017,jared kushner,1411
26,5,2016,hillary clinton,1411
17,2,2017,john kelly,1410
31,5,2016,hillary clinton,1410
28,12,2015,chris havey,1410
8,7,2015,hillary clinton,1410
20,6,2016,anton yelchin,1409
20,1,2017,jennifer holliday,1409
6,4,2016,barack obama,1408
13,12,2015,laurent fabius,1408
12,1,2017,los angeles,1407
2,5,2016,los angeles,1407
