STATE,YEAR,MONTH,DAY,GLOBAL_COUNT,ENV_COUNT
,2015,7,4,617,
,2015,7,16,1271,
,2015,7,25,585,
,2016,1,26,831,
,2016,4,11,852,
,2016,5,2,730,
,2016,10,8,1125,
,2016,10,21,2204,
,2017,3,22,1476,
,2017,4,5,976,
AE,2015,4,25,2803,376
AE,2015,6,3,4127,304
AE,2015,8,9,3029,120
AE,2015,10,10,2975,150
AE,2016,3,16,3375,194
AE,2016,12,12,2868,102
AE,2017,5,4,2261,69
AF,2015,11,18,451,
AF,2017,2,18,1088,8
AF,2017,5,27,254,
AF,2017,6,7,507,
AF,2017,10,4,348,
AG,2015,2,22,1,
AG,2015,5,6,14,
AG,2015,5,7,1,1
AG,2015,5,17,83,30
AG,2015,7,30,70,
AG,2015,8,14,10,
AG,2016,1,11,75,
AG,2016,6,23,52,
AG,2016,9,8,51,
AG,2016,12,23,49,2
AG,2017,7,15,22,
AJ,2015,11,3,1077,40
AJ,2016,2,17,1471,134
AJ,2016,5,20,2893,399
AJ,2016,12,12,1086,6
AJ,2016,12,19,1342,5
AJ,2016,12,29,1573,80
AJ,2017,1,22,1127,129
AL,2016,6,9,139,
AL,2016,6,22,77,2
AL,2016,7,10,87,
AL,2016,9,24,93,
AL,2017,5,22,120,
AL,2017,8,2,75,
AL,2017,10,13,109,
AM,2017,2,12,112,
AO,2015,5,4,111,
AO,2015,12,19,40,
AO,2016,1,26,108,8
AO,2016,7,11,152,20
AR,2015,3,22,277,5
AR,2016,8,10,187,
AR,2017,1,15,110,1
AR,2017,1,16,115,
AS,2016,9,14,31543,863
AS,2016,10,12,35076,1887
AS,2017,1,28,28104,979
AS,2017,4,8,17362,501
AS,2017,9,15,17353,837
AS,2017,11,2,25712,683
AU,2015,3,14,2,
AU,2015,5,1,28,
AU,2015,6,18,72,6
AU,2015,12,31,122,
AU,2016,11,6,6,
AU,2016,12,15,69,
AV,2015,9,1,14,
BA,2015,5,17,198,
BA,2015,6,19,116,4
BA,2016,4,19,145,
BA,2017,4,5,137,12
BA,2017,6,24,365,
BB,2015,10,11,31,1
BB,2015,11,10,143,5
BB,2015,12,3,59,
BB,2015,12,9,114,18
BB,2016,3,30,185,3
BB,2016,6,6,73,
BB,2016,6,14,127,
BB,2016,7,12,228,
BB,2017,10,9,63,1
BC,2016,5,12,161,
BC,2016,7,18,292,12
BC,2017,1,4,91,
BC,2017,6,30,76,
BC,2017,9,6,87,3
BC,2017,9,14,114,10
BC,2017,11,16,184,2
BD,2015,10,25,4,
BD,2016,10,21,113,11
BD,2017,3,25,90,
BD,2017,10,11,136,5
BE,2015,8,28,31,
BE,2015,11,12,55,
BE,2016,3,28,17,
BE,2016,5,10,155,
BE,2016,7,2,80,
BE,2016,7,7,94,
BE,2016,11,7,96,6
BF,2015,7,14,618,6
BF,2015,10,6,933,205
BF,2017,2,2,235,1
BF,2017,3,11,127,
BF,2017,5,6,80,4
BG,2015,3,12,2347,50
BG,2015,3,13,1857,35
BG,2016,6,24,2412,53
BG,2016,10,11,3168,23
BG,2017,3,10,2317,34
BG,2017,8,10,1946,49
BG,2017,11,16,3022,108
BH,2015,3,30,6,
BH,2015,7,25,145,
BH,2016,8,8,35,5
BH,2017,6,8,240,
BH,2017,11,16,175,
BK,2015,7,8,18,
BK,2016,3,23,32,
BK,2017,1,28,12,
BK,2017,10,21,5,
BK,2017,10,25,9,
BM,2015,2,28,198,6
BM,2015,8,2,37,6
BM,2015,12,27,7,
BM,2016,12,26,151,12
BM,2017,10,30,209,
BN,2015,8,6,63,29
BO,2016,9,22,587,4
BO,2017,5,25,325,
BP,2015,3,19,13,
BP,2015,5,7,10,9
BP,2016,7,18,43,
BP,2017,10,6,1,
BR,2017,7,14,95,
BR,2017,8,17,29,
BT,2015,8,7,39,
BT,2015,11,14,33,
BT,2016,3,24,19,
BT,2016,8,7,24,2
BT,2017,4,7,48,
BT,2017,6,29,33,
BT,2017,9,16,16,4
BU,2015,5,26,1075,70
BU,2015,8,7,741,4
BU,2016,8,9,822,14
BX,2015,9,6,246,3
BX,2016,1,13,179,13
BX,2017,2,3,100,2
BX,2017,7,18,121,2
BX,2017,8,8,138,
BY,2017,6,19,20,
CA,2015,5,23,11735,734
CA,2015,8,11,18795,740
CA,2015,10,18,9175,267
CA,2016,4,18,26261,1667
CA,2016,10,1,13300,364
CA,2017,1,23,27235,1976
CA,2017,10,31,22773,358
CB,2015,4,23,408,3
CB,2015,8,9,36,
CB,2015,9,6,57,
CB,2015,12,8,307,2
CB,2016,4,22,333,1
CB,2017,1,20,1099,35
CB,2017,4,19,394,
CE,2015,2,26,1587,5
CE,2015,9,5,1291,2
CE,2015,10,27,1380,27
CE,2015,11,16,1628,48
CE,2017,6,11,778,33
CE,2017,8,30,951,84
