GKGRECORDID,V2DATE,V1Persons
20150425000000-1870,2015-04-25T00:00:00.000+02:00,john kerry;leona aglukkaq;arshad mohammed;sergei donskoi;sergei lavrov
20150425014500-1409,2015-04-25T01:45:00.000+02:00,mick mcmullen;brian schweitzer
20150425020000-1376,2015-04-25T02:00:00.000+02:00,doug ericksen;jay inslee;christine rolfes
20150425024500-645,2015-04-25T02:45:00.000+02:00,mushahidullah khan
20150425041500-501,2015-04-25T04:15:00.000+02:00,
20150425043000-1188,2015-04-25T04:30:00.000+02:00,luke mastin
20150425050000-1321,2015-04-25T05:00:00.000+02:00,
20150425054500-1394,2015-04-25T05:45:00.000+02:00,heather wilson
20150425070000-209,2015-04-25T07:00:00.000+02:00,
20150425073000-1445,2015-04-25T07:30:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425074500-546,2015-04-25T07:45:00.000+02:00,
20150425074500-837,2015-04-25T07:45:00.000+02:00,
20150425081500-739,2015-04-25T08:15:00.000+02:00,anzachill anzacday alicesprings;david jan;trevor collier;neda vanovac;lance bombardier hodge;tony abbott;courtney todd;natasha griggs;john hardy;damien ryan;lance bombardier jacob hodge;ken dorward;nathan russell
20150425083000-164,2015-04-25T08:30:00.000+02:00,
20150425084500-442,2015-04-25T08:45:00.000+02:00,
20150425090000-126,2015-04-25T09:00:00.000+02:00,roberto cacault
20150425093000-1375,2015-04-25T09:30:00.000+02:00,bhimasena shikhara
20150425094500-666,2015-04-25T09:45:00.000+02:00,jonas walford;jake heron
20150425103000-1211,2015-04-25T10:30:00.000+02:00,bhimsen thapa
20150425103000-24,2015-04-25T10:30:00.000+02:00,
20150425104500-1229,2015-04-25T10:45:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425104500-331,2015-04-25T10:45:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425110000-309,2015-04-25T11:00:00.000+02:00,
20150425110000-8,2015-04-25T11:00:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425111500-507,2015-04-25T11:15:00.000+02:00,
20150425120000-1013,2015-04-25T12:00:00.000+02:00,nawaz sharif;pushpa das;jelle veyt;carsten lillelund pedersen;jenny adhikari;liz satow;ang tshering
20150425123000-446,2015-04-25T12:30:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
