HDI Rank,Country,ISO3,2015,2016,2017
168,Afghanistan,AFG,0.493,0.494,0.498
68,Albania,ALB,0.776,0.782,0.785
85,Algeria,DZA,0.749,0.753,0.754
35,Andorra,AND,0.854,0.856,0.858
147,Angola,AGO,0.572,0.577,0.581
70,Antigua and Barbuda,ATG,0.775,0.778,0.78
47,Argentina,ARG,0.822,0.822,0.825
83,Armenia,ARM,0.748,0.749,0.755
3,Australia,AUS,0.936,0.938,0.939
20,Austria,AUT,0.903,0.906,0.908
80,Azerbaijan,AZE,0.758,0.757,0.757
54,Bahamas,BHS,0.807,0.806,0.807
43,Bahrain,BHR,0.832,0.846,0.846
136,Bangladesh,BGD,0.592,0.597,0.608
58,Barbados,BRB,0.797,0.799,0.8
53,Belarus,BLR,0.805,0.805,0.808
17,Belgium,BEL,0.913,0.915,0.916
106,Belize,BLZ,0.709,0.709,0.708
163,Benin,BEN,0.508,0.512,0.515
134,Bhutan,BTN,0.603,0.609,0.612
118,Bolivia (Plurinational State of),BOL,0.681,0.689,0.693
77,Bosnia and Herzegovina,BIH,0.755,0.766,0.768
101,Botswana,BWA,0.706,0.712,0.717
79,Brazil,BRA,0.757,0.758,0.759
39,Brunei Darussalam,BRN,0.852,0.852,0.853
51,Bulgaria,BGR,0.807,0.81,0.813
183,Burkina Faso,BFA,0.412,0.42,0.423
185,Burundi,BDI,0.418,0.418,0.417
125,Cabo Verde,CPV,0.647,0.652,0.654
146,Cambodia,KHM,0.571,0.576,0.582
151,Cameroon,CMR,0.548,0.553,0.556
12,Canada,CAN,0.92,0.922,0.926
188,Central African Republic,CAF,0.357,0.362,0.367
186,Chad,TCD,0.407,0.405,0.404
44,Chile,CHL,0.84,0.842,0.843
86,China,CHN,0.743,0.748,0.752
90,Colombia,COL,0.742,0.747,0.747
165,Comoros,COM,0.502,0.502,0.503
137,Congo,COG,0.613,0.612,0.606
176,Congo (Democratic Republic of the),COD,0.444,0.452,0.457
63,Costa Rica,CRI,0.788,0.791,0.794
46,Croatia,HRV,0.827,0.828,0.831
73,Cuba,CUB,0.772,0.774,0.777
32,Cyprus,CYP,0.86,0.867,0.869
27,Czechia,CZE,0.882,0.885,0.888
170,Côte d'Ivoire,CIV,0.478,0.486,0.492
11,Denmark,DNK,0.926,0.928,0.929
172,Djibouti,DJI,0.47,0.474,0.476
103,Dominica,DMA,0.721,0.718,0.715
94,Dominican Republic,DOM,0.729,0.733,0.736
86,Ecuador,ECU,0.743,0.749,0.752
115,Egypt,EGY,0.691,0.694,0.696
121,El Salvador,SLV,0.674,0.679,0.674
141,Equatorial Guinea,GNQ,0.593,0.593,0.591
179,Eritrea,ERI,0.433,0.436,0.44
30,Estonia,EST,0.866,0.868,0.871
144,Eswatini (Kingdom of),SWZ,0.584,0.586,0.588
173,Ethiopia,ETH,0.451,0.457,0.463
92,Fiji,FJI,0.738,0.738,0.741
15,Finland,FIN,0.915,0.918,0.92
24,France,FRA,0.898,0.899,0.901
110,Gabon,GAB,0.694,0.698,0.702
174,Gambia,GMB,0.457,0.457,0.46
70,Georgia,GEO,0.771,0.776,0.78
5,Germany,DEU,0.933,0.934,0.936
