Day,Month,Year,Actor,Count
11,10,2016,associated press,1267
15,8,2016,associated press,1267
3,10,2016,united states,1267
8,9,2016,associated press,1265
2,10,2015,associated press,1264
25,2,2015,united states,1263
30,11,2016,reuters,1263
23,12,2015,national weather service,1262
29,3,2017,united states,1261
18,4,2016,associated press,1260
8,9,2017,reuters,1259
24,8,2016,reuters,1259
6,9,2016,associated press,1259
29,11,2016,associated press,1258
6,10,2017,associated press,1258
18,8,2016,united states,1258
26,5,2015,houston rockets,1258
3,4,2017,national weather service,1257
1,4,2015,united states,1257
1,9,2016,united states,1253
10,9,2017,white house,1250
10,10,2016,associated press,1250
12,9,2017,national hurricane center,1249
20,2,2015,united states,1248
12,10,2017,united states,1248
2,4,2017,associated press,1248
26,4,2015,twitter,1247
10,9,2017,key west police,1247
20,2,2015,associated press,1247
14,12,2016,united states,1246
18,9,2017,u s national hurricane center,1244
1,5,2017,associated press,1244
12,5,2016,united states,1243
19,9,2017,emergency management agency,1242
7,3,2017,national weather service,1240
31,10,2015,associated press,1240
7,11,2016,oklahoma corporation commission,1238
12,9,2017,twitter,1236
3,2,2016,associated press,1236
11,9,2017,florida power light,1236
29,5,2016,national hurricane center,1235
24,10,2017,associated press,1234
23,1,2016,college park,1232
6,10,2016,cnn,1231
24,1,2017,associated press,1231
12,12,2015,associated press,1229
20,3,2017,united states,1228
25,1,2016,reagan national airport,1228
11,9,2017,u s national hurricane center,1228
26,6,2016,associated press,1226
2,5,2016,starbucks,1226
6,9,2017,facebook,1224
8,10,2017,mississippi emergency management agency,1223
2,10,2016,united states,1223
19,5,2015,associated press,1223
27,12,2015,national weather service,1222
16,4,2016,japan meteorological agency,1220
9,8,2017,united states,1220
19,2,2015,united states,1218
6,9,2017,white house,1218
7,10,2016,national guard,1217
21,5,2015,associated press,1216
25,1,2016,national zoo,1214
19,1,2016,united states,1214
31,8,2017,facebook,1214
13,10,2016,united states,1212
15,3,2017,united states,1212
26,9,2017,associated press,1211
26,5,2015,entergy,1210
17,5,2017,national weather service,1207
4,12,2015,associated press,1207
20,3,2015,united states,1206
1,6,2017,twitter,1204
13,1,2016,united states,1204
7,10,2016,cnn,1204
25,4,2015,united states,1202
13,1,2017,associated press,1202
24,8,2016,united states,1201
6,1,2016,united states,1201
23,6,2015,woodhaven association,1200
23,10,2015,hurricane center,1199
6,6,2015,associated press,1199
10,10,2017,united states,1198
8,9,2017,pacific tsunami warning center,1197
25,1,2016,united states,1197
24,1,2017,united states,1197
16,9,2015,associated press,1196
31,3,2015,united states,1195
21,8,2017,associated press,1194
23,2,2015,associated press,1194
24,10,2017,united states,1193
24,1,2016,facebook,1192
23,1,2016,christie,1192
12,1,2017,united states,1192
1,9,2017,arkema inc,1192
2,7,2015,associated press,1191
18,1,2017,united states,1190
13,5,2016,united states,1190
28,8,2017,army corps of engineers,1189
27,1,2017,united states,1189
7,11,2016,u s geological,1188
25,5,2015,national weather service,1186
16,11,2016,united states,1184
8,3,2017,united states,1184
25,1,2017,united states,1182
19,4,2016,associated press,1182
21,9,2016,united states,1182
18,9,2017,national hurricane center,1180
7,10,2016,amtrak,1180
1,9,2017,texas department of public safety,1179
16,6,2015,united states,1178
25,5,2016,reuters,1178
15,8,2016,california department of forestry,1177
28,9,2015,shell,1177
26,9,2017,united states,1171
26,4,2016,united states,1170
8,6,2015,united states,1170
15,8,2017,united states,1169
3,1,2016,national weather service,1169
26,7,2016,united states,1168
24,2,2015,united states,1168
5,3,2015,national weather service,1168
15,10,2016,national weather service,1168
22,2,2015,associated press,1167
3,2,2017,united states,1166
28,12,2015,garland police,1166
31,8,2016,national hurricane center,1165
2,3,2015,national weather service,1163
10,5,2016,storm prediction center,1162
27,2,2015,united states,1160
6,10,2016,emergency management agency,1160
15,8,2016,united states,1160
2,12,2015,united states,1159
23,12,2015,associated press,1159
7,5,2015,emergency medical services authority,1159
7,6,2017,united states,1158
24,12,2015,storm prediction center,1157
17,4,2016,twitter,1155
1,12,2016,united states,1152
8,2,2017,united states,1150
26,5,2016,united states,1149
24,1,2016,u s geological,1148
3,11,2017,united states,1148
21,7,2017,associated press,1147
26,4,2015,united states,1146
17,4,2016,u s geological,1146
11,9,2017,miami herald,1143
30,10,2017,national weather service,1142
19,6,2015,associated press,1142
10,4,2015,rockford fire department,1140
25,5,2015,entergy,1139
18,11,2016,united states,1138
9,3,2017,associated press,1137
4,6,2015,associated press,1136
8,4,2015,shell,1134
5,10,2015,national weather service,1133
3,10,2016,u s national hurricane center,1131
13,9,2017,cnn,1131
5,9,2017,national guard,1131
22,6,2017,national weather service,1130
20,9,2017,u s national hurricane center,1129
30,12,2015,associated press,1129
23,6,2015,illinois emergency management agency,1127
26,8,2017,cnn,1125
7,9,2017,foreign office,1123
2,9,2017,united states,1123
26,12,2015,associated press,1123
16,2,2016,national weather service,1121
24,12,2015,associated press,1118
7,10,2016,reuters,1117
7,6,2016,associated press,1117
12,1,2017,national weather service,1116
21,1,2016,united states,1116
26,1,2016,united states,1115
3,6,2016,associated press,1115
11,1,2017,national weather service,1115
16,8,2016,national weather service,1115
21,1,2016,national weather service in mount holly,1114
26,7,2016,boeing,1113
5,1,2017,associated press,1112
21,9,2017,national hurricane center,1111
8,2,2017,associated press,1111
1,9,2017,facebook,1111
25,2,2015,national weather service,1109
23,6,2016,european union,1108
10,9,2017,national weather service in miami,1107
5,9,2017,u s national hurricane center,1107
20,1,2017,associated press,1106
20,2,2017,united states,1102
30,5,2015,white house,1102
31,5,2017,united states,1102
17,6,2015,white house,1100
31,8,2017,emergency management agency,1100
23,2,2015,united states,1099
5,6,2017,united states,1099
14,9,2015,california department of forestry,1099
11,10,2017,united states,1097
14,12,2015,united states,1096
16,8,2016,united states,1096
18,1,2016,united states,1095
18,4,2016,united states,1095
15,4,2016,japan meteorological agency,1095
26,8,2016,associated press,1094
6,2,2016,associated press,1094
30,4,2017,national weather service,1094
17,5,2017,associated press,1093
8,6,2016,united states,1092
4,9,2017,associated press,1092
27,4,2016,national weather service,1091
1,12,2015,associated press,1091
26,5,2015,centerpoint energy,1090
14,7,2015,united states,1089
21,2,2015,national weather service,1088
4,1,2017,united states,1088
17,6,2015,emergency management agency,1088
5,6,2015,united states,1088
4,3,2015,associated press,1087
27,4,2016,united states,1087
10,9,2017,sun city center,1086
5,11,2015,united states,1086
24,8,2017,national weather service,1085
25,4,2015,twitter,1084
10,5,2015,cisco fire department,1084
25,6,2017,associated press,1083
