Day,Month,Year,Actor,Count
7,5,2015,forrest mitchell,902
9,10,2016,bruce smith,901
8,10,2016,robert tyler,901
26,8,2017,melissa munguia,901
8,9,2017,carlos gimenez,900
22,10,2017,donald trump,899
25,6,2015,los angeles,899
9,10,2016,rick scott,898
9,10,2016,holbrook mohr,896
9,10,2016,meg kinnard,896
9,10,2016,gary fineout,896
18,6,2015,kevin norris,896
25,4,2015,pushpa das,895
19,9,2017,pellam jno baptiste,894
19,8,2016,mike pence,893
22,4,2016,francois hollande,893
25,5,2015,craig doyal,893
21,1,2016,jennifer mccord,891
13,11,2017,binali yildirim,891
11,10,2016,hillary clinton,889
13,1,2017,mary fallin,889
4,10,2017,donald trump,889
29,5,2015,kevin antwine,888
29,5,2015,nathan mullins,888
18,9,2017,los cabos,888
29,9,2017,donald trump,887
24,5,2015,sean douglas,887
25,8,2016,greg goodnight,886
24,5,2015,jason farley,886
11,9,2017,mike pence,886
6,9,2017,cammy clark,885
24,2,2016,ali al-naimi,885
12,10,2017,daniel berlant,884
1,12,2015,barack obama,884
24,8,2016,agostino severo,884
7,12,2016,fitri abidin,883
11,9,2017,boris johnson,881
7,10,2016,rick knabb,880
26,10,2015,nawaz sharif,879
17,8,2016,jerry brown,879
24,8,2016,andrea gentili,879
9,9,2017,leah etmanczyk,878
11,5,2015,tom bradshaw,877
18,7,2015,los angeles,877
24,8,2016,fabrizio curcio,877
25,8,2017,john bel edwards,876
8,10,2017,phil bryant,875
9,9,2017,enrique pena nieto,874
23,1,2017,nathan deal,872
9,1,2017,los angeles,871
14,9,2017,rick scott,871
6,10,2015,nikki haley,870
7,9,2017,hubert minnis,870
13,1,2017,eric greitens,870
15,10,2017,jerry brown,869
26,4,2015,prakash subedi,869
24,1,2016,andrew cuomo,869
8,6,2015,angela merkel,869
7,7,2015,shari ireton,868
19,9,2017,brian mcnoldy,867
17,5,2015,keli cain,867
11,10,2016,donald trump,867
13,12,2015,laurent fabius,867
3,9,2016,atlantic ocean,867
10,9,2017,nathan deal,865
25,8,2017,alex garcia,864
21,9,2017,felix delgado,864
1,10,2016,dennis feltgen,863
10,10,2017,jeff okrepkie,862
27,4,2015,shyam jaiswal,862
1,2,2017,donald trump,862
24,12,2015,shane jones,860
18,2,2016,los angeles,860
4,9,2017,los angeles,860
25,8,2017,john barton,859
21,8,2017,donald trump,859
7,3,2017,donald trump,859
19,6,2015,pope francis,859
14,11,2016,john key,858
10,4,2015,bruce rauner,856
26,7,2016,pacific ocean,856
7,12,2016,achmad taufiq,856
17,8,2016,damin anthony pashilk,856
13,2,2017,phil scott,854
25,2,2016,timothy williams,853
17,5,2017,chris fitzgerald,852
11,5,2015,eric martello,852
25,2,2016,willy martin,850
1,5,2017,eric greitens,850
1,9,2016,david ige,849
3,6,2017,donald trump,849
26,8,2017,tom bossert,848
27,8,2017,patrick burke,848
29,8,2017,superstorm sandy,848
25,1,2016,douglas fink,848
24,6,2016,los angeles,846
9,1,2017,brian sandoval,844
7,9,2017,ronald plasterk,843
22,6,2017,john bel edwards,843
8,10,2016,bruce smith,842
7,3,2017,black hawk,841
9,7,2017,los angeles,840
14,12,2016,rick perry,840
7,10,2016,amber klinkel,840
25,1,2016,alex brandon,840
15,8,2016,los angeles,839
8,9,2017,henry mcmaster,837
28,5,2015,barack obama,835
5,10,2015,william holbrook,835
20,9,2017,seth borenstein,835
18,6,2015,kerry novak,834
20,9,2017,ben fox,834
6,6,2017,donald trump,833
31,8,2017,janet smith,833
8,10,2016,russ bynum,831
8,10,2016,freida frisaro,830
8,10,2016,martha waggoner,830
7,9,2017,pauline jackson,830
7,10,2017,rosario murillo,830
8,10,2016,meg kinnard,829
8,10,2016,terry spencer,829
8,10,2016,marcia dunn,829
8,10,2016,kelli kennedy,829
8,10,2016,curt anderson,829
8,10,2016,jack jones,829
8,10,2016,janelle cogan,829
8,10,2016,jennifer kay,829
7,9,2017,juan tosado,829
1,3,2017,jared kutz,829
2,6,2017,barack obama,828
25,5,2015,pacific ocean,828
20,1,2016,mike brown,827
9,9,2017,atlantic ocean,826
8,10,2016,gary fineout,826
13,8,2016,john bel edwards,826
24,2,2016,cody creel,825
7,9,2017,henry mcmaster,825
23,1,2017,tim purvis,825
29,4,2017,donald trump,824
24,10,2015,seth borenstein,824
10,10,2016,donald trump,824
6,11,2017,donald trump,823
18,8,2016,mark hartwig,823
21,6,2017,kay ivey,822
1,8,2016,allan kittleman,822
12,12,2015,john schellnhuber,822
12,5,2015,laxmi dhakal,822
18,6,2015,greg abbott,821
27,6,2016,earl ray tomblin,821
21,9,2016,barack obama,821
21,7,2015,pope francis,820
6,10,2017,rosario murillo,820
24,2,2016,dale purvis,819
12,5,2015,sulav singh,819
15,10,2017,dianne feinstein,818
7,11,2016,donald trump,818
25,1,2016,jessica gresko,818
8,9,2017,kenneth mapp,816
10,9,2017,john leuders,816
7,4,2017,donald trump,816
10,10,2017,donald trump,815
3,4,2017,francine gotch,814
11,9,2017,kristen bell,814
30,8,2017,superstorm sandy,813
7,10,2016,darrell etheridge,813
27,4,2015,jagdish pokhrel,812
5,10,2015,el faro,811
26,5,2015,luis felipe puente,810
21,6,2017,john bel edwards,810
27,4,2015,tim sullivan,810
9,9,2017,david fischer,809
9,9,2017,gary fineout,809
1,3,2017,phillip truitt,809
9,9,2017,terrance harris,808
24,6,2016,earl ray tomblin,808
29,4,2015,binaj gurubacharya,808
1,9,2017,rick perry,808
4,3,2017,donald trump,807
25,2,2016,dale purvis,807
4,5,2016,justin trudeau,807
7,9,2016,los cabos,807
22,8,2016,william randolph hearst,806
13,11,2017,saad maan,805
30,10,2016,marco rinaldi,804
6,9,2017,kenneth mapp,804
1,3,2017,ariel cohen,804
22,4,2016,bertrand piccard,803
22,5,2015,los angeles,802
22,1,2016,barack obama,802
2,4,2017,juan manuel santos,800
3,5,2016,abu dhabi,799
22,10,2017,lady gaga,798
28,12,2015,michael graczyk,798
26,10,2015,munir anwar,798
7,7,2015,susan gregg,798
25,8,2017,brian mcnoldy,797
28,12,2015,maria sudekum,797
28,12,2015,paul j weber,797
18,6,2015,pope franci,797
12,10,2017,mark ghilarducci,797
8,10,2017,brian adam,797
26,3,2015,billy mckelvey,797
10,9,2017,elaine duke,796
30,4,2015,shanti kumari,796
10,10,2017,mike pence,795
25,4,2015,sushil koirala,794
23,12,2015,el nino,794
24,10,2015,brandie galle,794
21,6,2016,santa barbara,793
6,6,2016,donald trump,792
26,5,2015,victor zamora,791
26,6,2016,jerry brown,790
25,2,2016,cody creel,790
26,6,2016,earl ray tomblin,788
13,11,2017,kokab fard,788
25,1,2016,juliet linderman,788
25,8,2017,melissa munguia,787
24,12,2015,greg carbin,787
29,11,2016,dolly parton,786
26,5,2015,mike benevides,786
5,9,2017,atlantic ocean,786
24,8,2016,savino damelio,786
