Date,Actor,Count
2015-02-18,united states,77
2015-02-18,associated press,61
2015-02-18,nasdaq,44
2015-02-18,national weather service,41
2015-02-18,facebook,38
2015-02-18,bureau of meteorology,37
2015-02-18,dow jones,28
2015-02-18,treasury department,26
2015-02-18,reuters,24
2015-02-18,twitter,24
2015-02-18,exxon mobil corp,22
2015-02-18,raycom news network,22
2015-02-18,youtube,18
2015-02-18,exxon mobil,17
2015-02-18,energy inc,16
2015-02-18,office of natural resources revenue,15
2015-02-18,international energy agency,14
2015-02-18,group inc,13
2015-02-18,thomson reuters,13
2015-02-18,emergency services deputy,13
2015-02-18,marathon oil,13
2015-02-18,new york stock exchange,12
2015-02-18,york stock exchange,12
2015-02-18,u s department of agriculture snow,11
2015-02-18,google,10
2015-02-18,angie list inc,10
2015-02-18,wood group,10
2015-02-18,virgin america inc,10
2015-02-18,dragon oil,10
2015-02-18,box inc,10
2015-02-18,guidant corp,10
2015-02-18,flowserve corp,10
2015-02-18,u s agriculture department,10
2015-02-18,emergency services,10
2015-02-18,pemex,10
2015-02-18,firstenergy corp,10
2015-02-18,boston scientific corp,10
2015-02-18,google inc,10
2015-02-18,company annual information form,9
2015-02-18,company business,9
2015-02-18,origin energy,9
2015-02-18,exxon,9
2015-02-18,chevron,9
2015-02-18,exxonmobil,9
2015-02-18,water availability task,8
2015-02-18,toronto stock exchange,8
2015-02-18,bureau of meteorology on,8
2015-02-18,berkshire hathaway,7
2015-02-18,international maritime organization,7
2015-02-18,european central bank,7
2015-02-18,lantana police,7
2015-02-18,u s environmental protection agency,7
2015-02-18,international council on clean transportation,7
2015-02-18,fire department,7
2015-02-18,duke energy,7
2015-02-18,department of transportation,7
2015-02-18,resources inc,7
2015-02-18,marathon oil corp,6
2015-02-18,keolis commuter services,6
2015-02-18,washington national cathedral,6
2015-02-18,london metal exchange,6
2015-02-18,goldman sachs,6
2015-02-18,torrance unified school district,6
2015-02-18,visitors bureau,6
2015-02-18,tompkins county convention,6
2015-02-18,lantana police department,6
2015-02-18,exchange commission,6
2015-02-18,marketwatch inc,6
2015-02-18,morningstar inc,6
2015-02-18,oil price information service,6
2015-02-18,analyst ratings network,6
2015-02-18,california department of industrial relations,5
2015-02-18,corporate development,5
2015-02-18,terms of service,5
2015-02-18,tennessee emergency management agency,5
2015-02-18,peabody energy,5
2015-02-18,american petroleum institute,5
2015-02-18,virginia army national guard,5
2015-02-18,railroad administration,5
2015-02-18,garmin ltd,5
2015-02-18,conocophillips,5
2015-02-18,yahoo,5
2015-02-18,division of occupational safety,5
2015-02-18,united nations,5
2015-02-18,freeport-mcmoran inc,5
2015-02-18,sumitomo metal mining co ltd,5
2015-02-18,bureau of meteorology adam morgan,5
2015-02-18,virgin australia group,5
2015-02-18,nevada corporation,5
2015-02-18,haywood securities inc,5
2015-02-18,cloud peak energy,5
2015-02-18,company portuguese,5
2015-02-18,gate one of the portsmouth naval shipyard,5
2015-02-18,sumitomo corporation,5
2015-02-18,singapore airlines,4
2015-02-18,commerce department,4
2015-02-18,shale plays media,4
2015-02-18,european space agency,4
2015-02-18,global development,4
2015-02-18,dominion bank,4
2015-02-18,securities exchange,4
2015-02-18,manufacturing union west coast,4
2015-02-18,cenovus energy inc,4
2015-02-18,news network,4
2015-02-18,lundin mining corporation,4
2015-02-18,commodity systems inc,4
2015-02-18,solid energy,4
2015-02-18,suncor energy inc,4
2015-02-18,drillsearch energy,4
2015-02-18,solarcity corp,4
2015-02-19,united states,1218
2015-02-19,national weather service,876
2015-02-19,associated press,787
2015-02-19,bureau of meteorology,746
2015-02-19,reuters,718
2015-02-19,twitter,697
2015-02-19,facebook,668
2015-02-19,nasdaq,567
2015-02-19,dow jones,317
2015-02-19,emergency services,308
2015-02-19,american petroleum institute,302
2015-02-19,exxon mobil,225
2015-02-19,lantana police department,192
2015-02-19,portland press herald,180
2015-02-19,chevron,174
2015-02-19,exxon mobil corp,173
2015-02-19,exchange commission,173
2015-02-19,u s energy information administration,171
2015-02-19,supreme court,163
2015-02-19,police in lantana,154
2015-02-19,wal-mart,146
2015-02-19,yahoo,139
2015-02-19,wildlife service,134
2015-02-19,brisbane city council,133
2015-02-19,fire department,131
2015-02-19,morningstar inc,129
2015-02-19,conocophillips,128
2015-02-19,energy information administration,126
2015-02-19,oil price information service,123
2015-02-19,disaster coordination centre at kedron,122
2015-02-19,division of occupational safety,122
2015-02-19,disaster coordination group,122
2015-02-19,google,120
2015-02-19,torrance unified school district,114
2015-02-19,youtube,114
2015-02-19,california department of industrial relations,112
2015-02-19,news network,110
2015-02-19,commodity systems inc,107
2015-02-19,exxonmobil,106
2015-02-19,york mercantile exchange,106
2015-02-19,marathon oil,102
2015-02-19,cnn,98
2015-02-19,washington national cathedral,98
2015-02-19,european central bank,97
2015-02-19,toronto stock exchange,95
2015-02-19,transcanada corp,95
2015-02-19,european union,92
2015-02-19,thomson reuters,88
2015-02-19,analyst ratings network,86
2015-02-19,new york mercantile exchange,84
2015-02-19,york stock exchange,83
2015-02-19,railroad administration,81
2015-02-19,u s state department,81
2015-02-19,venture exchange,80
2015-02-19,new york stock exchange,78
2015-02-19,marketwatch inc,78
2015-02-19,duke energy,78
2015-02-19,national instrument,78
