TS,12,2015,8,586
ER,9,2015,10,214
KN,7,2017,12,1086
AF,7,2016,20,4258
RS,3,2015,31,8103
TS,5,2017,13,141
IZ,3,2015,11,13817
UZ,1,2017,20,187
KZ,11,2016,10,165
CA,5,2016,5,24175
US,4,2016,5,104275
IZ,5,2015,18,36438
PE,5,2017,18,4670
US,7,2015,31,141029
US,6,2016,11,74219
YM,10,2016,16,5522
US,8,2015,25,113490
IZ,1,2017,8,12817
GM,10,2015,9,7377
GR,11,2015,11,5468
US,6,2016,27,113657
GM,12,2015,30,3980
SZ,4,2017,21,555
GH,3,2015,25,515
SF,11,2015,13,3481
IR,1,2017,23,7948
US,9,2017,25,116403
LE,4,2016,20,2868
WA,6,2017,21,106
KS,6,2016,1,2863
IN,9,2017,30,3705
US,7,2015,13,111909
NP,8,2016,15,6047
TU,8,2016,26,21917
UK,7,2016,24,7494
SZ,8,2016,25,2671
IR,9,2015,25,14481
EG,7,2015,13,2244
IT,4,2015,11,1047
LI,3,2017,19,55
GM,1,2017,18,5006
PL,5,2017,19,1019
IS,3,2017,16,9478
SY,5,2015,3,3316
PL,11,2015,10,1224
UK,9,2015,17,10319
CH,2,2017,19,6552
US,6,2016,20,124575
HK,8,2015,21,176
NO,5,2016,13,3305
SY,7,2015,15,7965
KS,4,2016,3,1400
NZ,3,2017,23,6330
SA,5,2015,6,11593
CA,6,2016,9,9914
JA,6,2015,28,3526
UK,7,2017,7,11759
YM,10,2015,29,1387
PK,10,2015,9,4588
HA,11,2017,22,2635
FR,2,2016,16,8584
ZI,9,2017,15,467
KN,8,2017,12,11814
DR,4,2015,12,961
CE,9,2017,4,349
HK,5,2016,17,1577
IS,12,2015,10,5500
IN,8,2017,16,6200
FR,6,2016,22,6073
JA,12,2016,16,4401
AF,5,2017,8,7060
IN,10,2015,7,5399
FI,6,2015,29,81
SZ,6,2015,23,1639
IZ,11,2017,18,1221
TU,9,2015,26,4739
FR,2,2015,26,5487
IZ,6,2016,22,6321
IR,8,2016,15,3702
FR,2,2017,7,7912
TX,7,2015,18,161
AS,2,2017,7,11292
SY,3,2017,6,6868
SU,6,2017,17,325
GT,5,2016,31,1516
BB,11,2015,17,31
CA,6,2017,20,6468
BO,11,2016,28,188
IN,4,2015,28,8369
NL,2,2016,29,583
NI,8,2015,9,2337
LE,1,2017,22,1368
LY,7,2016,28,1187
PM,12,2016,6,285
SP,3,2016,23,1998
BE,2,2017,2,1669
EG,11,2015,9,16085
NI,10,2015,11,4649
BB,9,2017,13,504
HO,3,2017,31,1582
AE,5,2016,12,2135
SZ,4,2016,27,1364
NZ,3,2015,14,1608
WE,10,2015,16,3095
FR,11,2015,12,7285
FR,10,2017,12,4791
PE,5,2016,27,346
UK,5,2015,17,8060
CY,8,2016,12,203
SY,3,2015,23,8535
NL,6,2015,24,4019
GM,11,2015,26,9187
PK,1,2017,11,3095
MX,12,2016,13,2658
FR,9,2016,15,6912
EG,6,2017,22,1552
BE,12,2016,12,1665
SY,11,2016,14,9740
PK,12,2015,23,2565
JE,6,2015,15,167
UP,7,2016,21,2661
AS,7,2015,7,18543
DJ,9,2015,24,123
CA,6,2016,17,9156
AS,12,2015,2,24687
IR,7,2016,31,2962
MX,4,2016,29,1964
RP,7,2017,28,4921
SA,6,2016,15,1654
SZ,1,2016,24,3276
BG,7,2017,24,451
JA,8,2017,22,4903
JA,1,2017,16,5390
TU,8,2015,20,4996
EG,8,2016,4,4727
UP,1,2017,31,7940
EG,12,2015,5,1590
SO,7,2015,27,6249
NZ,9,2017,11,736
SA,5,2017,21,26488
UV,11,2016,29,266
PK,6,2017,9,4286
GK,10,2017,7,966
IR,11,2017,5,4636
AG,2,2017,11,62
JE,10,2015,11,178
