MA,2,2015,20,52
NL,2,2015,22,1078
FR,2,2015,26,12423
SL,2,2015,27,691
AJ,2,2015,27,866
BO,3,2015,2,1271
CD,3,2015,4,1003
IZ,3,2015,11,19185
NZ,3,2015,14,1956
ES,3,2015,19,85
SY,3,2015,23,12423
ZA,3,2015,23,730
ZA,3,2015,25,585
CE,3,2015,26,2663
JO,4,2015,5,1144
BA,4,2015,14,491
SW,4,2015,24,2076
ZA,4,2015,26,213
GT,5,2015,1,204
SY,5,2015,3,5749
UG,5,2015,3,512
MG,5,2015,4,279
JA,5,2015,5,3544
AL,5,2015,5,167
SA,5,2015,6,15826
BG,5,2015,7,2355
EN,5,2015,11,270
ZA,5,2015,12,406
UK,5,2015,17,15106
SO,5,2015,23,3040
AO,5,2015,25,283
LT,6,2015,5,55
US,7,2015,13,265644
JE,6,2015,15,508
US,6,2016,27,230790
TW,6,2015,28,4566
TH,7,2015,2,2339
TX,7,2015,3,742
SY,7,2015,9,11827
PL,7,2015,9,1450
KS,7,2015,10,2465
ZI,7,2015,11,1598
SY,7,2015,15,12619
SW,7,2015,17,1191
PM,7,2015,18,330
UG,7,2015,21,945
US,7,2015,31,264791
VC,7,2015,28,17
TX,7,2015,29,263
JA,8,2015,1,5703
KN,8,2015,4,3898
WE,8,2015,4,3693
NI,8,2015,9,4847
SF,8,2015,10,2920
US,8,2015,25,236305
TU,8,2015,20,7332
SO,8,2015,24,1055
SZ,8,2016,25,4269
SZ,8,2015,30,1152
UK,9,2015,17,25801
TZ,9,2015,15,408
BM,9,2015,23,706
TU,9,2015,26,5797
RO,9,2015,28,589
LE,10,2015,4,1873
IN,10,2015,7,18198
BU,10,2015,8,907
CU,10,2015,8,2470
CE,10,2015,8,1557
NI,10,2015,9,8472
GM,10,2015,9,12946
WA,10,2015,9,727
WE,10,2015,16,6365
MZ,10,2015,18,58
NZ,10,2015,20,2488
CI,10,2015,23,934
SF,10,2015,29,3998
YM,10,2015,29,1740
ZI,11,2015,2,1093
CB,11,2015,7,266
PL,11,2015,10,1666
CB,11,2015,15,2080
BB,11,2015,17,109
BU,12,2015,1,803
AS,12,2015,2,40815
BU,12,2015,4,949
ML,12,2015,4,1695
EG,12,2015,5,4780
TS,12,2015,8,710
BH,12,2015,13,82
RQ,12,2015,16,593
NL,12,2015,18,2221
JA,12,2015,27,3362
CD,12,2015,28,440
HK,1,2016,8,1311
UG,1,2016,11,1618
EZ,1,2016,15,567
UG,1,2016,18,1331
SI,1,2016,19,184
RW,1,2016,21,744
EK,1,2016,23,708
SZ,1,2016,24,5117
IN,2,2016,3,18158
BG,2,2016,12,1210
OS,2,2016,13,170
UG,2,2016,21,4148
MI,2,2016,21,243
UG,2,2016,23,2198
GA,2,2016,23,571
NL,2,2016,29,1238
CY,3,2016,3,1482
US,4,2016,5,257763
CY,3,2016,8,830
RQ,3,2016,10,1061
CY,3,2016,11,556
BG,3,2016,12,1753
QA,3,2016,12,445
HA,3,2016,15,246
BB,3,2016,19,73
CF,3,2016,22,1424
AF,3,2016,22,4535
SP,3,2016,23,3292
TS,3,2016,25,411
SZ,3,2016,29,1712
SZ,4,2016,6,3347
CA,5,2016,5,33144
AE,5,2016,12,3498
WE,5,2016,15,1728
SL,5,2016,26,438
AJ,6,2016,2,1182
SO,6,2016,2,12104
QA,6,2016,6,3577
TS,6,2016,7,268
CO,6,2016,7,293
BC,6,2016,8,292
CA,6,2016,9,21024
UG,6,2016,10,1604
SM,6,2016,14,6
FR,6,2016,22,13908
CA,6,2016,17,19405
CY,6,2016,21,2413
BE,6,2016,22,3176
UP,6,2016,27,1233
VT,6,2016,27,273
UP,7,2016,21,3717
TN,7,2016,23,29
UK,7,2016,24,17100
TX,7,2016,25,299
UG,7,2016,27,1321
DJ,7,2016,31,79
IC,8,2016,2,163
BR,8,2016,6,1641
RI,8,2016,6,163
MR,8,2016,10,73
TU,8,2016,26,26525
UZ,8,2016,28,661
HO,8,2016,30,1512
BP,8,2016,30,20
EG,9,2016,1,4223
SL,9,2016,1,131
TH,9,2016,2,2062
IN,9,2016,7,23827
FR,9,2016,15,12345
SU,9,2016,15,979
TD,9,2016,19,466
CD,11,2016,3,268
WE,11,2016,10,1840
ZI,11,2016,16,1893
ZI,11,2016,18,1274
VE,11,2016,28,1964
NP,12,2016,3,678
KE,12,2016,3,2308
LE,12,2016,5,1205
PM,12,2016,6,580
BE,12,2016,12,4164
CF,12,2016,14,398
JA,12,2016,16,15804
BR,12,2016,20,1985
CY,12,2016,20,210
CJ,12,2016,21,50
TS,1,2017,2,1038
ES,1,2017,8,507
GG,1,2017,10,303
PK,1,2017,11,6822
BG,1,2017,11,2425
BO,1,2017,13,469
VM,1,2017,15,4128
JA,1,2017,16,7728
CO,1,2017,17,2029
GM,1,2017,18,10196
UZ,1,2017,20,629
WE,1,2017,20,1040
BG,1,2017,27,1393
TI,1,2017,27,264
UP,1,2017,31,9344
NP,2,2017,9,2178
TW,2,2017,12,512
ID,2,2017,15,4522
GA,2,2017,21,428
TI,2,2017,28,448
SW,3,2017,1,2319
PE,3,2017,2,1076
MI,3,2017,3,303
TZ,3,2017,4,315
SY,3,2017,6,14134
EI,3,2017,7,5328
FR,3,2017,8,10698
RM,3,2017,26,7
WE,4,2017,28,2452
UG,4,2017,30,517
SA,5,2017,21,81413
BL,5,2017,29,153
VM,6,2017,24,1981
ML,7,2017,1,1013
MT,7,2017,5,546
UK,7,2017,7,23837
GH,7,2017,14,1939
SZ,7,2017,17,3089
RW,7,2017,20,329
US,8,2017,1,256189
BG,7,2017,27,1580
RP,7,2017,28,7845
QA,7,2017,29,918
UZ,8,2017,2,313
WS,8,2017,2,107
BE,8,2017,3,879
CS,8,2017,8,98
EG,8,2017,9,4103
TD,8,2017,20,238
IS,8,2017,30,14893
US,9,2017,25,228343
WZ,8,2017,28,40
AJ,9,2017,5,1611
LA,9,2017,6,175
AM,9,2017,9,377
BB,9,2017,13,606
ZI,9,2017,15,973
VE,9,2017,21,1012
SU,9,2017,25,2932
BH,10,2017,1,32
NL,2,2015,23,1713
LH,2,2015,24,646
SP,2,2015,27,2653
AF,3,2015,3,7943
PK,3,2015,5,7056
GR,3,2015,5,2194
SP,3,2015,8,2087
NO,3,2015,14,754
TH,3,2015,19,2972
AS,3,2015,20,39131
MU,3,2015,21,187
MV,3,2015,22,159
SU,3,2015,22,2131
CE,3,2015,24,2184
GH,3,2015,25,1798
NL,3,2015,26,3128
IR,3,2015,26,25574
EI,3,2015,28,2470
AJ,3,2015,31,1397
RS,3,2015,31,15576
GT,4,2015,8,408
MP,4,2015,9,121
IT,4,2015,11,2462
SL,4,2015,15,1070
PU,4,2015,15,26
AS,4,2015,18,33309
MT,4,2015,21,2537
BH,4,2015,23,417
PM,4,2015,24,1100
NI,4,2015,26,10074
IN,4,2015,28,17214
MP,4,2015,28,140
,4,2016,29,320768
AJ,5,2015,5,1164
AS,5,2015,12,24426
GQ,5,2015,13,205
IZ,5,2015,18,41052
MN,5,2015,25,207
NI,5,2015,26,9120
PO,5,2015,29,285
BH,5,2015,29,244
EC,5,2015,30,102
EI,5,2015,31,1692
JM,6,2015,5,621
,7,2015,10,372439
GQ,6,2015,10,137
CF,6,2015,12,566
KN,6,2015,14,984
LH,6,2015,15,603
SZ,6,2015,23,2551
GK,6,2015,23,53
NL,6,2015,24,4763
CE,6,2015,25,849
GH,6,2015,26,2012
LY,6,2015,26,7841
JA,6,2015,28,4402
FI,6,2015,29,260
CD,6,2015,29,3405
AS,7,2015,7,39933
PP,7,2015,7,132
EG,7,2015,13,3791
GA,7,2015,23,942
HR,7,2015,26,57
SO,7,2015,27,8776
KS,7,2015,29,1960
AL,8,2015,6,121
PE,8,2015,10,289
IC,8,2015,19,147
HK,8,2015,21,520
ET,8,2015,27,2126
CE,8,2015,30,972
ER,9,2015,10,406
GK,9,2015,24,23
IR,9,2015,25,21502
MX,10,2015,7,4219
PK,10,2015,9,8944
NI,10,2015,11,7919
KN,10,2015,16,1761
IR,10,2015,17,6883
MJ,10,2015,18,559
MK,10,2015,20,426
EC,10,2015,26,182
SF,11,2015,3,7784
CO,11,2015,4,638
EG,11,2015,9,19362
NZ,11,2015,9,4872
GH,11,2015,11,3484
GR,11,2015,11,6791
FR,11,2015,12,12978
MO,11,2015,12,720
SF,11,2015,13,5660
SZ,11,2015,15,695
LY,11,2015,20,2098
HR,11,2015,22,266
MX,11,2015,24,6404
CI,11,2015,24,570
GM,11,2015,26,12034
KS,11,2015,29,1666
HO,11,2015,30,197
AM,12,2015,5,505
JM,12,2015,9,859
IS,12,2015,10,16174
LH,12,2015,18,187
AE,12,2015,21,1639
PK,12,2015,23,8982
CF,12,2015,23,186
KE,12,2015,26,1613
MG,12,2015,26,123
KE,12,2015,28,1732
ID,12,2015,29,1647
GM,12,2015,30,6914
BM,12,2015,31,268
RW,1,2016,7,967
MP,1,2016,15,76
BR,1,2016,16,10083
AG,1,2016,16,1019
GA,1,2016,22,251
LE,1,2016,27,1168
ET,1,2016,28,1515
BY,1,2016,31,1138
BM,2,2016,1,2386
EG,2,2016,2,2805
UP,2,2016,2,2581
AY,2,2016,8,35
IR,2,2016,10,12100
NS,2,2016,10,25
MK,2,2016,11,390
MO,2,2016,11,843
IR,2,2016,12,10985
CB,2,2016,15,4340
FR,2,2016,16,16267
AM,2,2016,19,1563
BM,2,2016,24,501
BF,2,2016,24,585
PO,2,2016,25,1090
AS,2,2016,27,20446
,4,2016,2,184170
MK,3,2016,13,668
JE,3,2016,13,234
NL,3,2016,14,2194
MG,3,2016,16,95
IS,3,2016,21,24042
DR,3,2016,21,139
BX,3,2016,24,721
NG,3,2016,27,98
KS,4,2016,3,2734
HU,4,2016,6,658
RQ,4,2016,8,475
MU,4,2016,11,260
UP,4,2016,12,2084
PK,4,2016,16,6367
CO,4,2016,17,5278
DR,4,2016,18,151
GZ,4,2016,19,183
LE,4,2016,20,7566
MZ,4,2016,21,272
PK,4,2016,23,5543
SZ,4,2016,27,2164
MX,4,2016,29,5453
CO,4,2016,29,1283
AE,4,2016,29,1381
BO,5,2016,6,675
NO,5,2016,6,1022
PL,5,2016,8,653
AJ,5,2016,8,199
US,6,2016,11,173208
AR,5,2016,13,692
NO,5,2016,13,6756
TZ,5,2016,14,240
SN,5,2016,17,2473
HK,5,2016,17,2283
LE,5,2016,18,2410
LO,5,2016,20,67
CG,5,2016,21,87
RI,5,2016,22,194
MI,5,2016,23,239
SL,5,2016,25,397
EK,5,2016,26,149
PE,5,2016,27,832
FJ,5,2016,30,430
SP,5,2016,31,3439
GT,5,2016,31,1915
AR,5,2016,31,599
SZ,5,2016,31,5868
KS,6,2016,1,9034
AL,6,2016,7,899
GA,6,2016,10,1071
BF,6,2016,11,195
AE,6,2016,12,1991
US,6,2016,20,259358
AF,6,2016,14,18213
SI,6,2016,14,67
SA,6,2016,15,3633
GI,6,2016,16,2283
KZ,6,2016,16,236
VE,6,2016,17,2203
TD,6,2016,17,280
CE,6,2016,21,899
QA,6,2016,23,879
IZ,6,2016,22,9421
HU,6,2016,23,703
YM,6,2016,25,477
KS,6,2016,28,3050
EC,6,2016,28,195
LE,6,2016,29,1998
RW,6,2016,29,542
AU,7,2016,2,1200
FJ,7,2016,5,1621
,7,2017,6,251428
OS,7,2016,6,174
CA,7,2016,11,16047
ET,7,2016,11,1081
AF,7,2016,20,6003
ML,7,2016,21,1805
CU,7,2016,24,396
KN,7,2016,25,1387
MO,7,2016,28,707
LY,7,2016,28,3547
IR,7,2016,31,4069
EG,8,2016,4,6206
,9,2016,5,230063
CH,8,2016,7,6983
NG,8,2016,12,224
NH,8,2016,14,116
CT,8,2016,15,130
NP,8,2016,15,6551
IR,8,2016,15,6476
GR,8,2016,16,2667
CI,8,2016,16,319
IR,8,2016,21,6042
BX,8,2016,28,934
CT,9,2016,2,545
AE,9,2016,3,1201
LY,9,2016,14,5070
,9,2017,18,250606
NG,9,2016,20,1265
CU,9,2016,22,2531
AE,9,2016,23,1961
CE,9,2016,26,1215
IT,9,2016,27,4911
GR,9,2016,28,2447
MK,9,2016,30,94
VE,10,2016,8,698
BM,10,2016,10,991
ML,10,2016,10,790
GT,10,2016,13,316
YM,10,2016,16,6225
EI,10,2016,17,3187
SG,10,2016,17,187
,10,2017,19,288631
MG,10,2016,19,252
CW,10,2016,19,264
PP,10,2016,20,196
SF,10,2016,26,6924
IT,10,2016,28,4545
BF,10,2016,28,395
KG,10,2016,31,235
CT,11,2016,2,494
SG,11,2016,10,302
IN,11,2016,12,14250
AJ,11,2016,12,673
RW,11,2016,12,537
SY,11,2016,14,16062
BU,11,2016,15,728
KV,11,2016,16,93
CE,11,2016,20,893
CE,12,2016,5,880
MX,12,2016,13,4596
GH,12,2016,15,3566
AM,12,2016,21,2478
,12,2016,25,108185
IZ,1,2017,8,14937
QA,1,2017,13,514
NO,1,2017,18,1581
DJ,1,2017,19,212
LE,1,2017,22,2158
IR,1,2017,23,13145
LH,1,2017,23,205
ID,1,2017,24,4877
MV,1,2017,26,57
LA,1,2017,26,270
ES,1,2017,27,145
BN,1,2017,29,374
GR,2,2017,1,2676
BE,2,2017,2,3349
BX,2,2017,2,820
HO,2,2017,5,126
AS,2,2017,7,25630
FR,2,2017,7,14301
JO,2,2017,9,1191
GH,2,2017,11,1846
CH,2,2017,19,10258
IN,2,2017,15,18736
BM,2,2017,19,460
CO,2,2017,20,2086
DA,2,2017,24,684
IN,2,2017,25,14595
JO,3,2017,10,1479
LA,3,2017,9,321
NO,3,2017,11,703
HK,3,2017,11,530
AJ,3,2017,14,1288
IS,3,2017,16,19926
KS,3,2017,20,6185
NZ,3,2017,23,8031
BY,3,2017,23,111
JA,3,2017,24,4776
SP,3,2017,25,867
KN,4,2017,2,3924
DO,4,2017,4,46
LY,4,2017,5,1418
KZ,4,2017,6,626
RQ,4,2017,6,368
SW,4,2017,8,31989
KS,4,2017,8,3176
GH,4,2017,8,1930
MD,4,2017,8,585
FI,4,2017,11,7911
MK,4,2017,14,231
QA,4,2017,17,1900
JE,4,2017,17,769
AO,4,2017,18,166
SW,4,2017,19,824
CD,4,2017,19,118
SZ,4,2017,21,1300
CY,4,2017,23,208
CU,4,2017,24,854
LI,4,2017,25,660
TS,4,2017,25,293
HR,5,2017,1,167
AR,5,2017,5,1174
IZ,5,2017,6,3061
AF,5,2017,8,14202
BA,5,2017,9,608
GZ,5,2017,10,113
AL,5,2017,11,355
IZ,5,2017,12,3388
TS,5,2017,13,381
SO,5,2017,13,1134
BM,5,2017,14,172
AU,5,2017,14,1180
FJ,5,2017,15,204
UG,5,2017,16,1451
SL,5,2017,16,117
GG,5,2017,17,113
CF,5,2017,17,2917
PE,5,2017,18,9945
PL,5,2017,19,2037
MO,5,2017,26,435
ZI,5,2017,28,858
MK,5,2017,29,461
BB,5,2017,31,471
NU,5,2017,31,886
PK,6,2017,9,9384
MR,6,2017,12,96
KZ,6,2017,13,920
HU,6,2017,13,2636
EG,6,2017,22,3344
BC,6,2017,16,175
SU,6,2017,17,556
HK,6,2017,17,168
CA,6,2017,20,15215
RO,6,2017,28,2977
HU,6,2017,28,370
JM,7,2017,1,368
SO,7,2017,11,1209
CE,7,2017,12,1078
KN,7,2017,12,2406
BP,7,2017,18,57
IZ,7,2017,19,7795
CH,7,2017,20,15328
BG,7,2017,24,1150
BR,7,2017,24,2054
KU,7,2017,28,323
PO,7,2017,31,394
RO,7,2017,31,1881
AO,8,2017,4,1608
SY,8,2017,9,8597
KG,8,2017,10,108
OS,8,2017,10,93
AO,8,2017,11,402
KN,8,2017,12,25498
KZ,8,2017,13,136
RO,8,2017,15,718
IN,8,2017,16,15789
JA,8,2017,22,6858
AL,8,2017,24,606
AE,8,2017,26,1373
AJ,8,2017,28,514
LE,8,2017,31,2511
FI,8,2017,31,399
BP,8,2017,31,280
CG,9,2017,3,331
CE,9,2017,4,985
NZ,9,2017,11,1797
GA,9,2017,11,138
SO,9,2017,14,1855
AS,9,2017,20,18728
CB,9,2017,21,309
NI,9,2017,25,7857
JA,9,2017,29,4633
AM,9,2017,29,400
IN,9,2017,30,8059
UY,10,2017,2,49
KZ,10,2017,4,417
TW,10,2017,5,634
BM,10,2017,6,3791
OS,10,2017,6,192
MX,10,2017,9,2462
JE,10,2017,10,262
FI,10,2017,10,748
MU,10,2017,11,385
FR,10,2017,12,11590
LI,10,2017,15,69
HU,10,2017,15,275
LE,10,2017,30,973
RQ,11,2017,1,1561
IR,11,2017,5,8190
EZ,11,2017,6,385
HU,11,2017,8,480
CU,11,2017,10,1946
CI,11,2017,14,1463
ET,11,2017,17,455
MN,11,2017,17,115
IZ,11,2017,18,1866
FM,11,2017,20,29
BK,11,2017,20,750
BF,11,2017,20,135
HA,11,2017,22,2750
KE,2,2015,18,32
CF,2,2015,21,190
ER,3,2015,18,57
BL,4,2015,9,264
DR,4,2015,12,997
CO,6,2015,2,478
SN,6,2015,9,1022
TX,7,2015,18,180
PO,8,2015,3,259
CS,8,2015,11,183
DA,9,2015,4,1024
NU,9,2015,6,20
ES,9,2015,11,153
RQ,9,2015,15,202
TI,9,2015,16,1065
AJ,10,2015,3,446
NR,10,2015,29,367
IV,1,2016,7,111
SP,1,2016,9,2327
JM,1,2016,10,464
GQ,1,2016,11,1409
FJ,1,2016,15,216
RQ,1,2016,25,389
TX,1,2016,26,100
TX,1,2016,31,146
UZ,1,2016,31,35
HK,2,2016,4,545
UV,3,2016,17,423
YI,3,2016,24,1142
